code,mount,meaning_zh,meaning_en,health_risk_zh,health_risk_en,advice_zh,advice_en
venus_rich,金星丘发达,热情、活力、高能量，有领导力。,Passionate and energetic.,心火旺、口腔溃疡、失眠。,Heart fire, insomnia.,多喝水、早睡、避免辛辣，多做拉伸。,Hydration, sleep early, less spicy.
venus_flat,金星丘扁平,能量弱，性格内敛。,Low energy, introverted.,免疫力弱、畏寒。,Low immunity, cold.,加强运动、补气血，如红枣枸杞。,Exercise, qi/blood tonics.
jupiter_rich,木星丘发达,自信、目标感强，有组织力。,Confident, organized.,压力性头痛、颈椎紧。,Stress headaches.,深呼吸、颈部拉伸，减少久坐。,Breathing, neck stretches.
jupiter_flat,木星丘平,缺乏安全感、自我怀疑。,Insecure, self-doubt.,胃气弱、食欲差。,Weak digestion.,规律三餐、喝温水、少生冷。,Regular meals, warm water.
saturn_high,土星丘高,思考深，理性强。,Deep thinking.,易抑郁、焦虑体质。,Prone to anxiety.,冥想、散步、阳光照射。,Meditation, walking, sunlight.
saturn_low,土星丘低,体验型性格、易分心。,Experiential, distracted.,代谢慢、体虚。,Slow metabolism.,快走20分钟，提高心率。,Brisk 20-min walk.
apollo_rich,太阳丘发达,艺术天赋、魅力强、爱表达。,Artistic, expressive.,心火旺、压力致失眠。,Heart fire, insomnia.,早睡、少咖啡因、听轻音乐。,Sleep early, less caffeine.
apollo_weak,太阳丘弱,缺乏存在感，不敢表达。,Low presence.,肺弱、气短。,Weak lungs.,加强呼吸训练与心肺运动。,Breathing exercises, cardio.
mercury_rich,水星丘发达,聪明、沟通能力强。,Smart, communicative.,神经紧绷、肩颈痛。,Tense nerves.,注意休息，做肩颈操。,Rest, shoulder-neck exercise.
mercury_flat,水星丘扁平,沟通弱、反应较慢。,Poor communication.,代谢慢。,Slow metabolism.,多喝热水，轻运动开启代谢。,Warm water, light exercise.
moon_rich,月丘发达,想象力强，灵感丰富。,Imaginative.,情绪波动大、睡眠差。,Mood swings.,规律作息，睡前写日记。,Regular routine, journaling.
moon_low,月丘低,现实主义，不爱幻想。,Realistic.,气血弱、手脚冰凉。,Qi/blood weak.,温补食物，如姜枣茶。,Warm tonic foods.
code,name_zh,name_en,meaning_zh,meaning_en,health_risk_zh,health_risk_en,advice_zh,advice_en
venus_rich,金星丘发达,Venus Mount Rich,"热情、活力、高能量，有领导力。","Passionate, energetic, high energy, leadership qualities.","心火旺、口腔溃疡、失眠。","Strong heart fire, oral ulcers, insomnia.","多喝水、早睡、避免辛辣，多做拉伸。","Drink more water, sleep early, avoid spicy food, do more stretching."
venus_flat,金星丘扁平,Venus Mount Flat,"能量弱，性格内敛。","Weak energy, introverted personality.","免疫力弱、畏寒。","Weak immunity, aversion to cold.","加强运动、补气血，如红枣枸杞。","Strengthen exercise, replenish qi and blood, such as red dates and goji berries."
jupiter_rich,木星丘发达,Jupiter Mount Rich,"自信、目标感强，有组织力。","Confident, strong sense of purpose, organizational skills.","压力性头痛、颈椎紧。","Stress headaches, tight cervical spine.","深呼吸、颈部拉伸，减少久坐。","Deep breathing, neck stretching, reduce prolonged sitting."
jupiter_flat,木星丘平,Jupiter Mount Flat,"缺乏安全感、自我怀疑。","Lack of security, self-doubt.","胃气弱、食欲差。","Weak stomach qi, poor appetite.","规律三餐、喝温水、少生冷。","Regular three meals, drink warm water, less raw and cold food."
saturn_high,土星丘高,Saturn Mount High,"思考深，理性强。","Deep thinking, strong rationality.","易抑郁、焦虑体质。","Prone to depression, anxious constitution.","适合冥想、散步、阳光照射。","Suitable for meditation, walking, sun exposure."
saturn_low,土星丘低,Saturn Mount Low,"体验型性格、易分心。","Experiential personality, easily distracted.","代谢慢、体虚。","Slow metabolism, physical weakness.","快走 20 分钟，提高心率。","Fast walk for 20 minutes to increase heart rate."
apollo_rich,太阳丘发达,Apollo Mount Rich,"艺术天赋、魅力强、爱表达。","Artistic talent, strong charm, loves expression.","心火旺、压力大导致失眠。","Strong heart fire, stress-induced insomnia.","早睡、避免咖啡因、听轻音乐。","Sleep early, avoid caffeine, listen to light music."
apollo_weak,太阳丘弱,Apollo Mount Weak,"缺乏存在感，不敢表达。","Lack of presence, afraid to express.","肺弱、气短。","Weak lungs, shortness of breath.","加强呼吸训练与心肺运动。","Strengthen breathing training and cardiopulmonary exercise."
mercury_rich,水星丘发达,Mercury Mount Rich,"聪明、沟通能力强。","Intelligent, strong communication skills.","神经紧绷、肩颈痛。","Tense nerves, shoulder and neck pain.","注意休息，少熬夜，做肩颈操。","Pay attention to rest, less staying up late, do shoulder and neck exercises."
mercury_flat,水星丘扁平,Mercury Mount Flat,"沟通弱、反应较慢。","Weak communication, slow reaction.","代谢慢。","Slow metabolism.","多喝热水，轻运动开启代谢。","Drink more hot water, light exercise to activate metabolism."
moon_rich,月丘发达,Moon Mount Rich,"想象力强，灵感丰富。","Strong imagination, rich inspiration.","情绪波动大、睡眠差。","Large emotional fluctuations, poor sleep.","保持规律作息，睡前写日记。","Maintain regular routine, write diary before sleep."
moon_low,月丘低,Moon Mount Low,"现实主义，不爱幻想。","Realistic, doesn't like fantasy.","气血弱、手脚冰凉。","Weak qi and blood, cold hands and feet.","温补食物，如姜枣茶。","Warming tonifying foods, such as ginger and jujube tea."
