code,name_zh,name_en,do_zh,avoid_zh,do_en,avoid_en,element,health_tip
lichun,立春,Spring Equinox,"早睡早起,适度运动,保持心情愉悦","熬夜,过度劳累,情绪波动","Early sleep,Moderate exercise,Keep happy mood","Stay up late,Overwork,Emotional fluctuations",wood,"重在护阳防风，避免受凉；情绪上宜舒畅乐观。"
yushui,雨水,Rain Water,"防寒保暖,注意防潮,多饮温水","受凉,过度劳累","Keep warm,Prevent moisture,Drink warm water","Catch cold,Overwork",wood,"防寒保暖同时注意防潮，关节易受寒湿。"
jingzhe,惊蛰,Insects Awaken,"启动新计划,做一些小但具体的行动,注意颈部保暖","过度情绪化,熬夜","Start new plans,Take small concrete actions,Keep neck warm","Over-emotional,Stay up late",wood,"易肝气偏旺，要疏肝解郁，防过度情绪化。"
chunfen,春分,Spring Equinox,"调和阴阳,适当增加运动量,预防春困","熬夜,过度劳累","Balance yin and yang,Increase exercise,Prevent spring fatigue","Stay up late,Overwork",wood,"调和阴阳，适当增加运动量，预防春困。"
qingming,清明,Pure Brightness,"注意防湿邪,慎食生冷,适当户外踏青","受凉,过度劳累","Prevent dampness,Avoid raw cold food,Outdoor activities","Catch cold,Overwork",wood,"注意防湿邪、慎食生冷；适当户外踏青舒畅心情。"
guyu,谷雨,Grain Rain,"防湿防热,多吃富含维生素的蔬菜","过度劳累,熬夜","Prevent dampness and heat,Eat vitamin-rich vegetables","Overwork,Stay up late",wood,"防湿防热，易犯鼻炎、皮肤问题。"
lixia,立夏,Summer Begins,"养心安神,预防烦躁失眠和中暑","熬夜,过度劳累","Nourish heart and calm mind,Prevent irritability and heatstroke","Stay up late,Overwork",fire,"养心安神，预防烦躁失眠和中暑。"
xiaoman,小满,Grain Full,"注意脾胃运化,防浮肿与乏力","过度劳累,熬夜","Pay attention to spleen and stomach,Prevent edema and fatigue","Overwork,Stay up late",fire,"注意脾胃运化，防浮肿与乏力。"
mangzhong,芒种,Grain in Ear,"防暑祛湿,避免在烈日下过度劳作","过度劳累,熬夜","Prevent heat and dampness,Avoid working under hot sun","Overwork,Stay up late",fire,"防暑祛湿，避免在烈日下过度劳作。"
xiazhi,夏至,Summer Solstice,"养心护阳,避免情绪过激,午后适当小憩","熬夜,过度劳累","Nourish heart and protect yang,Avoid excessive emotions,Afternoon nap","Stay up late,Overwork",fire,"养心护阳，避免情绪过激；午后适当小憩。"
xiaoshu,小暑,Minor Heat,"防暑降温,谨防中暑和肠胃不适","过度劳累,熬夜","Prevent heatstroke,Prevent heatstroke and gastrointestinal discomfort","Overwork,Stay up late",fire,"防暑降温，谨防中暑和肠胃不适。"
dashu,大暑,Major Heat,"重在清热祛湿,保护心脑血管与脾胃","过度劳累,熬夜","Clear heat and remove dampness,Protect cardiovascular and spleen","Overwork,Stay up late",fire,"重在清热祛湿，保护心脑血管与脾胃。"
liqiu,立秋,Autumn Begins,"防"秋老虎",仍要注意防暑兼顾添衣","过度劳累,熬夜","Prevent autumn heat,Still prevent heatstroke and add clothes","Overwork,Stay up late",metal,"防"秋老虎"，仍要注意防暑兼顾添衣。"
chushu,处暑,End of Heat,"注意调节免疫力,预防感冒与过敏","过度劳累,熬夜","Regulate immunity,Prevent colds and allergies","Overwork,Stay up late",metal,"注意调节免疫力，预防感冒与过敏。"
bailu,白露,White Dew,"重在养阴润燥,防燥咳与皮肤干裂","过度劳累,熬夜","Nourish yin and moisten dryness,Prevent dry cough and skin cracking","Overwork,Stay up late",metal,"重在养阴润燥，防燥咳与皮肤干裂。"
qiufen,秋分,Autumn Equinox,"适合反思调整节奏,早睡早起,增加温和运动","过度劳累,熬夜","Reflect and adjust rhythm,Early sleep and rise,Increase gentle exercise","Overwork,Stay up late",metal,"适合反思调整节奏，早睡早起，增加温和运动。"
hanlu,寒露,Cold Dew,"注意下肢和腰背保暖,预防关节问题","过度劳累,熬夜","Keep lower limbs and back warm,Prevent joint problems","Overwork,Stay up late",metal,"注意下肢和腰背保暖，预防关节问题。"
shuangjiang,霜降,Frost Descent,""秋冬进补"起点,重在扶阳固本","过度劳累,熬夜","Start autumn-winter tonification,Focus on supporting yang","Overwork,Stay up late",metal,""秋冬进补"起点，重在扶阳固本。"
lidong,立冬,Winter Begins,"养藏为主,注意防寒保暖与情绪稳定","过度劳累,熬夜","Focus on storage,Keep warm and maintain emotional stability","Overwork,Stay up late",water,"养藏为主，注意防寒保暖与情绪稳定。"
xiaoxue,小雪,Minor Snow,"加强御寒能力,保护心脑血管","过度劳累,熬夜","Strengthen cold resistance,Protect cardiovascular","Overwork,Stay up late",water,"加强御寒能力，保护心脑血管。"
daxue,大雪,Major Snow,"继续温补,注意防滑防寒,适当户外活动","过度劳累,熬夜","Continue warming tonification,Prevent slipping and cold,Moderate outdoor activities","Overwork,Stay up late",water,"继续温补，注意防滑防寒，适当户外活动。"
dongzhi,冬至,Winter Solstice,"养藏为主,适度温补,多与家人团聚","过度劳累,熬夜","Focus on storage,Moderate warming tonification,Spend time with family","Overwork,Stay up late",water,"养藏为主，适度温补，多与家人团聚。"
xiaohan,小寒,Minor Cold,"重在保暖护阳,防感冒与旧病复发","过度劳累,熬夜","Focus on keeping warm and protecting yang,Prevent colds and recurrence","Overwork,Stay up late",water,"重在保暖护阳，防感冒与旧病复发。"
dahan,大寒,Major Cold,"防寒保暖与静养结合,等待春生","过度劳累,熬夜","Combine keeping warm with rest,Wait for spring","Overwork,Stay up late",water,"防寒保暖与静养结合，等待春生。"
