feature,code,meaning,health_risk,advice
舌淡白,pale,"阳虚或血虚，体质偏弱。","畏寒、乏力、手脚冰冷。","多喝热水、姜枣茶，避免生冷。"
舌红,red,"有内热或情绪压力大。","口干、心烦、失眠。","喝菊花茶、保持早睡。"
舌绛,deep_red,"体内火旺或阴虚火旺。","口渴、盗汗、睡眠障碍。","滋阴食物如百合、银耳。"
舌紫,purple,"气滞血瘀。","经常肩颈酸痛、偏头痛。","做肩颈操、热敷。"
齿痕舌,teeth_mark,"脾虚或水湿困。","浮肿、乏力、胃胀。","薏米红豆水、饮食清淡。"
裂纹舌,crack,"阴虚或压力大。","口干、胃酸、便秘。","百合银耳汤、规律睡眠。"
胖大舌,swollen,"湿气重或脾虚。","身体沉重、困倦。","多运动出汗，少油炸。"
瘦薄舌,thin,"气血不足。","容易头晕、疲倦。","补血食物：黑芝麻、红枣。"
舌尖红,tip_red,"心火旺、情绪紧绷。","失眠、焦虑。","深呼吸、冥想、减少咖啡因。"
舌中部黄苔,yellow_mid,"胃热重。","口苦、大便干。","喝绿豆汤、少油腻。"
舌根白苔白,white_root,"脾虚湿盛。","腹胀、食欲差。","温补脾胃，喝山药粥。"
地图舌,map,"长期压力大或胃阴不足。","胃口差、便秘。","规律作息、清淡饮食。"

