keyword,locale,category,five_element,emotion,meaning_zh,meaning_en,health_tip_zh,health_tip_en
跌落,zh,场景,水,恐惧,"对失控、失败或安全感缺失的担忧，可能代表近期压力过大。","Worry about loss of control, failure, or lack of security, may indicate excessive recent stress.",注意睡眠质量和神经系统调节，适当放松，避免过度用脑和熬夜。,Pay attention to sleep quality and nervous system regulation, relax appropriately, avoid excessive mental work and staying up late.
追赶,zh,场景,木,紧张,"被某事或某人"追着走"，象征责任、任务或内心逃避的问题。","Being 'chased' by something or someone, symbolizing responsibilities, tasks, or issues being avoided.",调整时间管理，避免长期加班；适当运动释放压力。,Adjust time management, avoid long-term overtime; exercise appropriately to release stress.
考试,zh,场景,火,焦虑,"对自我能力评价、他人期待或即将到来的检验感到不安。","Anxiety about self-evaluation, others' expectations, or upcoming tests.",注意作息规律，避免咖啡因过多；可安排小目标来建立信心。,Maintain regular routine, avoid excessive caffeine; set small goals to build confidence.
掉牙,zh,身体,水,不安,"象征自我形象、表达能力或家庭长辈健康的担忧。","Symbolizes concerns about self-image, expression ability, or family elders' health.",检查口腔健康，注意补钙和血糖平衡；减少熬夜与情绪波动。,Check oral health, pay attention to calcium and blood sugar balance; reduce staying up late and emotional fluctuations.
飞行,zh,场景,木,期待,"超越现实限制，代表想要突破、自由或灵感提升。","Transcending reality, representing desire for breakthrough, freedom, or inspiration.",可通过学习或创作释放这种积极能量，同时注意别过度沉迷幻想。,Release this positive energy through learning or creation, but avoid excessive fantasy.
被追杀,zh,场景,火,恐惧,"内心有强烈的恐惧或压力源，象征回避面对的问题。","Strong inner fear or stress source, symbolizing problems being avoided.",建议适度运动和深呼吸训练，必要时与信任的人沟通或寻求咨询。,Recommend moderate exercise and deep breathing, communicate with trusted people or seek counseling if needed.
溺水,zh,场景,水,无助,"被情绪或环境淹没，代表压抑、委屈或情感负担。","Drowned by emotions or environment, representing suppression, grievance, or emotional burden.",注意心肺功能与情绪调节，适合练习冥想或缓慢呼吸。,Pay attention to cardiopulmonary function and emotional regulation, suitable for meditation or slow breathing.
迷路,zh,场景,土,困惑,"对人生方向、关系或事业选择感到迷茫。","Confusion about life direction, relationships, or career choices.",可写下短期与长期目标，逐步拆解；注意避免长期熬夜做决定。,Write down short-term and long-term goals, break them down step by step; avoid making decisions when staying up late.
蛇,zh,动物,水,警觉,"双重象征：一方面代表潜在危险与戒备，另一方面代表蜕变与疗愈。","Dual symbol: represents potential danger and vigilance, also represents transformation and healing.",注意肝胆和血液循环问题，可适度调整饮食、减少油腻与酒精。,Pay attention to liver, gallbladder, and blood circulation, adjust diet appropriately, reduce greasy food and alcohol.
猫,zh,动物,木,温和,"代表独立、柔软与感性，也可能指对亲密关系的微妙感受。","Represents independence, softness, and sensitivity, may also refer to subtle feelings about intimate relationships.",注意保持适度独处时间，避免情绪积压；适合做轻柔拉伸运动。,Maintain appropriate alone time, avoid emotional accumulation; suitable for gentle stretching exercises.
狗,zh,动物,土,踏实,"忠诚、安全感与保护，也代表对陪伴和信任的需求。","Loyalty, security and protection, also represents need for companionship and trust.",适合多与家人朋友互动，改善社交支持系统；户外散步有助身心。,Suitable for more interaction with family and friends, improve social support; outdoor walking helps body and mind.
